tanda,iata,aeropuerto,pais,rutas_en_hoja,ruta1,ruta2,ruta3,ruta4,ruta5
"5","KUL","Kuala Lumpur","Malasia","47","Kuala Lumpur City Center","Genting Highlands","Malacca","Ipoh","Batu Caves"
"5","CGK","Yakarta","Indonesia","49","Jakarta","Bandung","Bogor","Depok","BSD"
"5","SUB","Surabaya","Indonesia","40","Kota Surabaya","Malang","Batu","Probolinggo","Banyuwangi"
"5","YIA","Yogyakarta","Indonesia","25","Yogyakarta","Borobudur","Magelang","Semarang","Parangtritis"
"5","MNL","Manila","Filipinas","73","Manila","Makati","Ángeles","Subic Bay","Baguio"
"5","CRK","Clark","Filipinas","25","Ángeles","Subic Bay","Manila","Baguio","Olongapo"
"5","CEB","Cebú","Filipinas","33","Cebu City","Mactan Beaches","Moalboal","Oslob","Bohol"
"5","ICN","Seúl-Incheon","Corea del Sur","33","Seoul centro ciudad","Myeongdong","Gangnam-gu","Itaewon","Incheon City Center"
"5","TPE","Taipéi","Taiwán","19","Taipei Downtown","Taichung","Taoyuan","Hualien City","Kaohsiung City"
"5","OKA","Okinawa","Japón","18","Naha","Onna","Nago","Chatan","Motobu"
"5","HAN","Hanói","Vietnam","16","Hà Noi","Bahía de Ha-Long","Ninh Binh","Sa Pa","Hai Phong"
"5","DAD","Da Nang","Vietnam","13","Da Nang City Centre","Hoi An","Ba Na (Vietnam)","Non Nuoc beach","Nam Hoi An"
"5","PNH","Nom Pen","Camboya","19","Siem Reap","Kampot","Kep","Krong Preah Sihanouk","Battambang"
"5","GOI","Goa-Dabolim","India","37","Calangute","Baga (Goa)","Candolim","Anjuna","Panjim"
"5","GOX","Goa-Mopa","India","18","Calangute","Baga (Goa)","Candolim","Arambol","Panjim"
"5","COK","Kochi","India","41","Alappuzha","Kumarakom","Kovalam","Varkala","Cochín"
"5","TRV","Trivandrum","India","28","Kovalam","Varkala","Poovar","Kanyakumari","Trivandrum / Thiruvananthapuram"
"5","SFB","Orlando-Sanford","EE. UU.","16","Orlando","Lake Buena Vista","International Drive North","Disney World Hotels","Windermere Florida"
"5","PBI","West Palm Beach","EE. UU.","20","Miami Beach","Palm Beach FL","Orlando","Naples","Lake Worth (Greenacres)"
"5","SNA","Orange County (Los Ángeles)","EE. UU.","28","Anaheim","Santa Monica","Los Angeles","Irvine (California)","Carlsbad"
"5","KOA","Kona (Hawái)","EE. UU.","15","Kohala Coast","Kona","Hapuna beach","Hualalai","Kukio"
"5","LIH","Lihue (Kauai)","EE. UU.","20","Poipu Beach","Princeville","Koloa","Lihue","Kilauea"
"5","SJD","Los Cabos","México","82","Cabo San Lucas","Cabo Bello","Cabo Pulmo","Diamante (Baja California Sur)","Flora Farms"
"5","PVR","Puerto Vallarta","México","30","Nuevo Vallarta","Sayulita","Punta de Mita","Bucerias","Marina Vallarta"
"5","GDL","Guadalajara","México","36","Guadalajara","Chapala","Ajijic","Tequila","Mazamitla"
"5","HAV","La Habana","Cuba","31","Viñales","Trinidad (Trinidad Cuba)","Cienfuegos","Playas del Este","Playa Jibacoa"
"5","VRA","Varadero","Cuba","21","Varadero","Havana","Cardenas","Matanzas","Playa Larga"
"5","HOG","Holguín","Cuba","23","Guardalavaca","Playa Pesquero","Holguin","Santiago de Cuba","Playa Esmeralda"
"5","LRM","La Romana","R. Dominicana","12","Playa Dominicus","Punta Cana town","Santo Domingo","Miches","Arena Gorda"
"5","UVF","Santa Lucía","Santa Lucía","25","Rodney Bay","Gros Islet","Soufrière Bay","Marigot Bay","Castries City"
"5","BGI","Barbados","Barbados","15","Bridgetown","Holetown","Speightstown","Oistins","Worthing"
"5","ANU","Antigua","Antigua y Barbuda","22","English Harbour","Jolly Harbour","Falmouth Harbour","Hodges Bay","Turners Beach"
"5","PLS","Providenciales","Turks y Caicos","10","Grace Bay","Leeward Settlement","Sapodilla Bay","Taylor Bay","The Bight Settlement"
"5","LIR","Liberia (Guanacaste)","Costa Rica","34","Tamarindo","Nosara","La Fortuna","Monteverde","Manuel Antonio"
"5","LIM","Lima","Perú","26","Lima","Miraflores Peru","Paracas","Huacachina","Nazca"
"5","MVD","Montevideo","Uruguay","19","Montevideo","Punta del Este","Colonia del Sacramento","Piriápolis","José Ignacio"
"5","MCZ","Maceió","Brasil","100","Maceió","Maragogi","São Miguel dos Milagres","Japaratinga","Praia do Frances"
"5","REC","Recife","Brasil","54","Recife","Porto de Galinhas","Maragogi","João Pessoa","Cabo de Santo Agostinho"
"5","NAT","Natal","Brasil","18","Natal","Pipa Beach","Ponta Negra","Praia de Genipabu","Maracajau"
"5","FOR","Fortaleza","Brasil","57","Fortaleza","Cumbuco","Canoa Quebrada","Beach Park (Ceará)","Flecheiras"
"5","SSA","Salvador de Bahía","Brasil","20","Salvador","Praia do Forte","Imbassaí","Costa do Sauípe","Guarajuba"
