IATA,Aeropuerto,Pais,Rutas publicadas,Rutas con precio,Ticket medio,Ticket mediana,Min,Max
CGN,"Cologne Bonn Airport","Germany",1,46,154.24,129.62,49.98,433.72
LGA,"LaGuardia Airport","United States",1,139,160.22,129.58,56.60,469.89
AMS,"Amsterdam Schiphol Airport","Netherlands",4,152,145.97,127.98,33.97,461.96
CLT,"Charlotte Douglas International Airport","United States",1,34,193.44,127.13,47.09,824.24
MXP,"Milan Malpensa Airport","Italy",1,107,170.99,125.90,41.96,742.69
SCQ,"Santiago de Compostela Airport","Spain",1,109,136.95,124.88,34.97,282.22
BEG,"Belgrade Nikola Tesla Airport","Serbia",2,85,136.27,123.63,21.98,319.46
LHR,"London Heathrow Airport","United Kingdom",2,3,155.44,121.88,73.75,270.69
VIE,"Vienna International Airport","Austria",1,127,138.25,119.88,19.98,691.17
LJU,"Ljubljana Jože Pučnik Airport","Slovenia",3,54,115.02,117.88,28.97,213.95
RIC,"Richmond International Airport","United States",1,1,117.27,117.27,117.27,117.27
MAD,"Adolfo Suárez Madrid-Barajas Airport","Spain",3,350,238.44,116.60,34.23,883.60
PMI,"Palma de Mallorca Airport","Spain",27,27,101.70,114.75,47.25,136.35
IAD,"Washington Dulles International Airport","United States",1,53,165.11,114.01,54.22,580.73
TQO,"Tulum International Airport","Mexico",13,13,122.70,113.93,72.50,172.52
CGH,"São Paulo Congonhas Airport","Brazil",4,70,138.29,113.24,18.69,698.57
AUS,"Austin-Bergstrom International Airport","United States",1,14,143.29,112.49,52.82,501.79
POP,"Puerto Plata Gregorio Luperón International Airport","Dominican Republic",3,21,131.27,112.42,39.08,267.80
AGP,"Málaga-Costa del Sol Airport","Spain",275,275,139.32,112.39,27.80,847.92
SCL,"Santiago Arturo Merino Benítez International Airport","Chile",2,34,132.04,112.15,23.37,501.52
FRA,"Frankfurt Airport","Germany",7,22,136.13,111.69,35.60,282.71
STN,"London Stansted Airport","United Kingdom",2,10,123.31,110.09,50.29,224.78
LTN,"London Luton Airport","United Kingdom",2,32,127.28,110.03,44.24,589.81
SJJ,"Sarajevo International Airport","Bosnia and Herzegovina",1,47,140.45,109.58,19.66,421.80
FCO,"Rome Fiumicino Airport","Italy",2,159,166.39,108.92,1.10,1078.70
EDI,"Edinburgh Airport","United Kingdom",1,224,146.92,108.64,1.03,545.70
LCA,"Larnaca International Airport","Cyprus",13,128,105.83,108.57,19.98,251.28
MSP,"Minneapolis-Saint Paul International Airport","United States",1,15,109.95,108.45,99.12,132.10
BOS,"Boston Logan International Airport","United States",1,65,165.54,105.81,53.39,1014.46
PUY,"Pula Airport","Croatia",4,80,143.21,104.90,31.97,697.22
MAN,"Manchester Airport","United Kingdom",4,158,126.32,103.39,31.97,877.18
PHX,"Phoenix Sky Harbor International Airport","United States",1,19,118.72,101.48,69.74,416.58
PFO,"Paphos International Airport","Cyprus",13,105,119.85,101.29,30.72,307.32
LAX,"Los Angeles International Airport","United States",2,234,131.35,100.49,42.17,978.29
TGD,"Podgorica Airport","Montenegro",3,39,106.73,99.90,21.98,451.42
SAN,"San Diego International Airport","United States",1,111,170.92,99.90,52.34,1348.58
BWI,"Baltimore/Washington International Airport","United States",2,55,171.77,99.87,55.98,780.54
VAR,"Varna Airport","Bulgaria",3,65,130.12,98.10,25.59,463.35
GRU,"São Paulo Guarulhos International Airport","Brazil",4,77,121.47,97.03,13.53,403.15
NRT,"Tokyo Narita International Airport","Japan",5,48,151.87,96.91,56.40,480.31
DCA,"Ronald Reagan Washington National Airport","United States",1,47,154.35,95.31,49.77,606.49
MIA,"Miami International Airport","United States",3,86,164.82,95.22,30.17,743.27
TPA,"Tampa International Airport","United States",1,76,114.96,94.33,31.73,459.31
YYZ,"Toronto Pearson International Airport","Canada",1,69,138.78,93.66,24.99,949.33
LIS,"Lisbon Humberto Delgado Airport","Portugal",15,225,118.96,93.66,12.29,588.91
BRU,"Brussels Airport","Belgium",5,25,101.22,92.54,45.82,199.73
SSH,"Sharm el-Sheikh International Airport","Egypt",4,13,80.21,92.41,6.43,137.36
ITM,"Osaka Itami Airport","Japan",1,5,114.32,92.38,50.69,231.44
SAT,"San Antonio International Airport","United States",1,14,83.53,90.80,57.84,115.43
PRN,"Pristina International Airport","Kosovo",2,2,89.47,89.47,45.75,133.18
